ID,Data,Sexo,Idade,Horário,CAUSA DA MORTE,Local,Latitude,Longitude,Município,Classificação
43,19/01/2017,masculino,31,17:49:00,ARMA DE FOGO,Vila Operária,"-2,560421","-44,184115",São José de Ribamar,HOMICÍDIO DOLOSO
44,20/01/2017,masculino,27,09:39:00,ARMA DE FOGO,Santa Efigênia,"-2,575169","-44,189072",São Luís,HOMICÍDIO DOLOSO
45,21/01/2017,masculino,23,16:00:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
46,21/01/2017,masculino,20,16:00:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
47,21/01/2017,masculino,34,11:57:00,ARMA DE FOGO,Coroadinho,"-2,563829","-44,265997",São Luís,HOMICÍDIO DOLOSO
48,21/01/2017,masculino,40,21:41:00,ARMA DE FOGO,Residencial Nova Canaã,"-2,51242","-44,157509",Paço do Lumiar,HOMICÍDIO DOLOSO
49,22/01/2017,masculino,19,22:04:00,ARMA DE FOGO,Coqueiro,"-2,732328","-44,356956",São Luís,HOMICÍDIO DOLOSO
50,22/01/2017,masculino,33,20:27:00,ARMA DE FOGO,Vila São Sebastião,"-2,573346","-44,264312",São Luís,HOMICÍDIO DOLOSO
51,22/01/2017,masculino,6,20:27:00,ARMA DE FOGO,Vila São Sebastião,"-2,573346","-44,264312",São Luís,HOMICÍDIO DOLOSO
52,24/01/2017,masculino,18,04:28:00,ARMA DE FOGO,Bequimão,"-2,530003","-44,246321",São Luís,HOMICÍDIO DOLOSO
53,24/01/2017,masculino,33,01:18:00,ARMA BRANCA,Planalto Anil I,"-2,541225","-44,212943",São Luís,HOMICÍDIO DOLOSO
54,25/01/2017,masculino,17,20:50:00,ARMA DE FOGO,Recanto Fialho,"-2,509294","-44,234744",São Luís,HOMICÍDIO DOLOSO
55,25/01/2017,feminino,22,21:30:00,ARMA DE FOGO,Vila São Luís – SJR,"-2,564303","-44,184417",São José de Ribamar,HOMICÍDIO DOLOSO
56,26/01/2017,masculino,41,07:03:00,ARMA DE FOGO,Alto do Turu III,"-2,51609","-44,192006",São José de Ribamar,HOMICÍDIO DOLOSO
57,26/01/2017,masculino,29,10:00:00,ARMA DE FOGO,Jambeiro,"-2,562693","-44,304707",São Luís,HOMICÍDIO DOLOSO
58,26/01/2017,masculino,65,07:10:00,ARMA DE FOGO,Vila Alcione Ferreira,"-2,553572","-44,073672",São José de Ribamar,HOMICÍDIO DOLOSO
59,27/01/2017,masculino,29,19:30:00,ARMA BRANCA,Paraíso das Rosas,"-2,551782","-44,193792",São José de Ribamar,HOMICÍDIO DOLOSO
60,27/01/2017,masculino,16,19:00:00,ARMA DE FOGO,Vila Maranhão,"-2,624857","-44,314127",São Luís,HOMICÍDIO DOLOSO
61,28/01/2017,masculino,29,20:36:00,ARMA DE FOGO,Alto do Turu I,"-2,505843","-44,195681",São José de Ribamar,HOMICÍDIO DOLOSO
62,28/01/2017,masculino,34,06:32:00,ARMA BRANCA,Centro-SLZ,"-2,530153","-44,299664",São Luís,HOMICÍDIO DOLOSO
63,28/01/2017,masculino,31,11:47:00,ARMA BRANCA,Cruzeiro,"-2,554369","-44,062223",São José de Ribamar,HOMICÍDIO DOLOSO
64,28/01/2017,masculino,22,20:44:00,ARMA DE FOGO,São Bernardo,"-2,561214","-44,221838",São Luís,HOMICÍDIO DOLOSO
65,28/01/2017,masculino,21,19:47:00,ARMA DE FOGO,Vila Vitória,"-2,608866","-44,203942",São Luís,HOMICÍDIO DOLOSO
66,29/01/2017,masculino,33,08:41:00,ARMA DE FOGO,Anjo da Guarda,"-2,559842","-44,32904",São Luís,HOMICÍDIO DOLOSO
67,29/01/2017,masculino,30,06:45:00,ARMA DE FOGO,Barreto,"-2,547431","-44,259281",São Luís,HOMICÍDIO DOLOSO
68,29/01/2017,masculino,23,03:54:00,ARMA DE FOGO,Cidade Olímpica,"-2,594718","-44,18345",São Luís,HOMICÍDIO DOLOSO
